wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
77,57,20,0.74025974,53,9,6.116348566,6.14881869,3.789473684,38,0.116883117,39,3,189197.857,1.298701299,632.911,0.68385834,0.002504343,0.432563275,0.403668135,0.86567575,0
96,63,33,0.65625,53,8,6.250228998,6.397621963,4.126984127,47,0.083333333,57.485,6,497818.65,3.125,5457.965,0.7452605,0.003861663,0.414550692,0.354096562,0.8707969,0
80,61,19,0.7625,57,9,6.025299736,6.028991962,4.032786885,30,0.1125,5.46,7,350059.788,0,0,0.69143844,0.001927659,0.374427795,0.360126764,0.8733087,0
94,70,24,0.744680851,65,8,6.251471849,6.306170652,3.871428571,60,0.085106383,54.235,5,369608.88,1.063829787,49.02,0.75548226,0.003317111,0.483532369,0.373708993,0.8719319,0
86,67,19,0.779069767,66,6,6.226922995,6.335711619,3.746268657,47,0.069767442,48.135,7,781348.066,0,0,0.7209867,0.001425008,0.468786776,0.390264273,0.8597084,0
110,64,46,0.581818182,58,9,6.14098682,6.28493484,3.75,53,0.081818182,60.03,10,750985.527,1.818181818,2190.623,0.6864569,0.001569659,0.461020708,0.330045819,0.86352557,0
136,41,95,0.301470588,40,7,5.599539446,5.947071751,4.048780488,43,0.051470588,26.21,6,547638.221,5.147058824,37906.154,0.62131906,0.002547032,0.424918205,0.324086905,0.86771905,0
174,51,123,0.293103448,45,7,5.504107814,5.838191898,3.607843137,92,0.040229885,84.78,8,456839.837,6.32183908,746950.114,0.75497824,0.002175408,0.502672672,0.370554626,0.871938,0
100,70,30,0.7,63,8,6.427336418,6.512669028,3.957142857,73,0.08,5.85,1,49223.411,3,325.626,0.6019204,0.002056308,0.407788754,0.379852831,0.87989473,0
156,105,51,0.673076923,99,8,6.964739486,7.080066492,3.952380952,132,0.051282051,91.095,4,574378.957,1.923076923,2219.941,0.685683,0.0019356,0.31087622,0.362376928,0.86553955,0
90,80,10,0.888888889,78,10,6.422307729,6.459431619,4.0375,34,0.111111111,4.285,11,890238.834,0,0,0.66919893,0.001467794,0.481680959,0.395248204,0.8648474,0
84,53,31,0.630952381,49,8,5.578184425,5.776946633,4.867924528,424,0.095238095,4.235,18,1305090.519,3.571428571,1032061.928,0.6973314,0.000824088,0.411424637,0.378187269,0.86611736,0
105,72,33,0.685714286,64,8,6.229097891,6.407326862,4.388888889,141,0.076190476,7.44,7,980438.807,2.857142857,4721.056,0.6937177,0.001558168,0.387564451,0.37004593,0.8663598,0
86,63,23,0.73255814,59,11,6.108101048,6.273269804,3.80952381,21,0.127906977,46.635,8,1244376.571,2.325581395,1695.172,0.72323585,0.00153717,0.426161408,0.321956724,0.8658277,0
145,98,47,0.675862069,89,10,6.83222229,6.962216354,4.306122449,171,0.068965517,78.505,8,216999.633,2.068965517,33872.684,0.56254685,0.001900951,0.387585521,0.341560662,0.86121887,0
106,75,31,0.70754717,69,12,6.337961946,6.416691882,4.093333333,86,0.113207547,16.095,9,1029503.438,0.943396226,952.381,0.7395229,0.001791135,0.414355069,0.353383243,0.86554444,0
128,94,34,0.734375,84,11,6.606564017,6.703237661,4.191489362,133,0.0859375,77.5,9,948748.187,0.78125,85470.085,0.71381855,0.001040482,0.409214854,0.368926853,0.86670274,0
67,52,15,0.776119403,45,8,5.862575938,5.89929089,4,41,0.119402985,42.715,9,790585.935,0,0,0.707981,0.001882696,0.430793822,0.361427516,0.86108476,0
117,91,26,0.777777778,83,8,6.616601685,6.636794399,4.164835165,80,0.068376068,63.315,3,146197.528,0.854700855,61.728,0.6796619,0.002325989,0.306448013,0.350844085,0.8692394,0
91,64,27,0.703296703,58,9,6.319522263,6.453261521,3.84375,40,0.098901099,49.765,6,1028818.63,3.296703297,2342.74,0.68943423,0.002323054,0.42185384,0.372385323,0.8668839,0
