DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,avg_word_similarity_hebrew,word_similarity_large,MappedStyle
50,10,5.818669384,5.969815782,13.3,17,1150926.878,0,0,0.477752328,0.86540866,0
76,9,6.693005065,6.835055103,111.19,2,176394.098,4.285714286,2248.895,0.395546168,0.8756732,0
86,12,6.828479833,6.892003697,38.8,5,337466.491,1.169590643,83.22,0.305247188,0.8697374,0
68,10,6.477869758,6.63978254,90.725,2,107975.252,3.95480226,9309.785,0.459212452,0.87537205,0
58,10,6.191701855,6.321928095,44.9,4,371000.661,3.658536585,6551.282,0.493596315,0.8643447,0
51,10,6.031036113,6.121578105,42.3,17,2261727.64,1.369863014,49.02,0.501396179,0.8665019,0
66,9,6.418295834,6.485645082,5.47,3,380587.572,1.030927835,147.929,0.432928473,0.8755351,0
65,10,6.49929089,6.515103224,7.705,6,230693.32,1.526717557,868.286,0.425183982,0.87280834,0
46,10,5.705117325,5.826510997,56.69,18,3582885.102,4.545454545,764783.083,0.374352068,0.86738884,0
80,10,6.281125105,6.478776132,89.15,1,61637.479,2.857142857,11548.275,0.320620805,0.87016344,0
84,10,6.563342499,6.745138327,120.28,7,191359.05,3.862660944,6670.21,0.42874077,0.87094957,0
67,11,6.32909977,6.534964008,8.33,9,229834.102,4.054054054,674.922,0.417399168,0.86901695,0
77,10,6.533077191,6.579294285,14.19,17,1414422.853,0,0,0.436276555,0.863551,0
132,12,7.450581307,7.551029164,159.445,25,550394.14,4,2423.539,0.427940667,0.86757505,0
68,8,6.530394788,6.584620486,29.9,4,284660.806,0.854700855,478.469,0.456027597,0.8676369,0
67,11,6.544194099,6.591934276,59.81,3,308260.141,1.834862385,331.111,0.418447912,0.87429684,0
67,11,6.304565226,6.438774201,14.725,0,24962.722,3.125,681.896,0.419584364,0.8791158,0
164,12,7.64434175,8.041909487,26.545,29,338033.971,5.18783542,157085.075,0.401693046,0.8623029,0
75,10,6.251190778,6.312514567,34.51,6,190144.171,2.419354839,44371.499,0.32488969,0.8621505,0
121,12,7.466663274,7.537925253,69.31,11,94857.294,2.657807309,9960.406,0.400072068,0.86986285,0
104,10,7.200377919,7.33338968,13.835,8,548485.338,1.538461538,1875.051,0.400034726,0.8709237,0
63,8,6.389214156,6.471459058,2.47,8,145898.387,2.127659574,590.562,0.440097153,0.8749244,0
39,8,5.533077191,5.543295834,33.85,7,1031736.394,0,0,0.378868967,0.8634914,1
50,7,6.020264176,6.052838258,5.89,12,1104384.997,1.333333333,478.469,0.495735168,0.8625041,1
44,8,5.690184606,5.700439718,33.485,3,197540.698,0,0,0.395402759,0.86168045,1
19,6,4.537844793,4.67214016,6.2,0,133938.93,2.702702703,561.798,0.33019948,0.87012535,1
40,7,5.523561956,5.491853096,3.83,3,400795.55,0,0,0.376116157,0.8624954,1
29,7,5.087462841,5.044394119,23.2,5,657460.003,0,0,0.385139406,0.86187243,1
61,8,6.475515855,6.695197899,9.35,9,1145489.687,1.869158879,347.32,0.430594355,0.86861396,1
74,9,6.638409503,6.64385619,55,8,1623716.774,0,0,0.502004981,0.8668845,1
54,10,5.946928095,6.101249103,47.86,10,1359858.159,2.469135802,57098.765,0.457890987,0.85863096,1
40,8,5.903150177,6.063716987,42.335,2,47019.619,3.846153846,348.653,0.474054575,0.8724207,1
48,9,5.734016026,5.840223929,39.95,7,669921.518,1.612903226,25706.941,0.450133264,0.8611612,1
66,9,6.522462501,6.548802977,59.215,9,311696.213,2.06185567,136.367,0.464770764,0.870222,1
53,9,6.368522528,6.442943496,49.765,7,432769.524,1.123595506,49.02,0.426510811,0.86619633,1
45,6,5.686731931,5.744996077,32.43,5,254252.398,0,0,0.407976449,0.8646103,1
20,7,4.769697891,4.92836744,26.55,17,2223282.746,3.846153846,4904353.129,0.507982969,0.8626394,1
84,9,6.96875,6.988684687,75.37,6,294287.641,0,0,0.474172384,0.8704375,1
38,7,5.448698704,5.65757516,39.8,4,396487.583,2.777777778,21122.995,0.455927104,0.8663506,1
38,6,5.392317423,5.357552005,28.965,11,2547445.939,0,0,0.599116862,0.85869116,1
55,9,6.253147837,6.259761193,43.69,4,1136024.611,1.25,131.752,0.503277123,0.86983114,1
33,10,6.103508583,6.320888851,7.95,7,854846.864,5.813953488,26959.519,0.636259854,0.88769156,1
57,7,5.936366069,5.936297541,4.94,13,1473400.815,1.086956522,70.922,0.447565973,0.85813296,1
37,6,5.418295834,5.554588852,28.77,1,85440.081,0,0,0.568237603,0.8639356,1
67,9,6.421554169,6.461093155,65.17,8,529688.721,0.917431193,251.256,0.436627746,0.86567307,1
55,9,6.221155642,6.320888851,2.14,3,202377.057,1.162790698,49.02,0.44413951,0.86659753,1
45,7,5.717850465,5.727920455,34.96,7,1285984.418,0,0,0.561747193,0.8606103,1
71,9,6.260756735,6.495917337,66.285,0,46214.521,3.03030303,1403.755,0.444646508,0.87960696,1
74,12,6.62385619,6.62935662,56.43,7,371185.11,0,0,0.485385507,0.86696917,1
44,8,5.999227547,6.291630412,4.775,13,440947.399,4.379562044,8685.101,0.447773248,0.8709816,1
61,9,6.192886724,6.324105048,6.515,11,506727.446,1.052631579,104.712,0.366555631,0.86372054,1
65,10,6.200017962,6.288043405,90.95,9,606360.827,6.962025316,20064.937,0.457031161,0.87098026,1
49,6,5.969815782,6.036238444,37.2,7,1316586.035,1.449275362,49.02,0.501264393,0.8643592,1
65,9,6.445020236,6.523561956,48.415,4,609849.439,3.191489362,223.826,0.472433597,0.8667236,1
62,10,6.270770463,6.482637436,3.88,9,475991.658,2.777777778,154797.353,0.317653984,0.85919094,1
54,8,6.093409091,6.129283017,49.605,5,1754621.504,0,0,0.454290867,0.8624179,1
22,6,4.892147224,4.957854446,21.755,3,439339.895,0,0,0.384940982,0.87035745,1
46,5,5.744996077,5.754887502,38,14,1989882.824,0,0,0.476918429,0.85714346,1
58,9,6.178031708,6.206364733,4.19,8,271414.597,1.176470588,223.714,0.414795488,0.86678416,1
47,9,5.845246512,5.897950452,35.865,6,368396.694,0,0,0.519932628,0.8711629,1
56,8,6.114369446,6.14974712,47.23,10,1503025.63,0,0,0.463736236,0.85891795,1
13,5,3.882045108,4.095795255,4.4,7,2443235.631,4.166666667,18181.818,0.480498552,0.8611604,1
67,10,6.539652532,6.785102583,63.225,5,109313.668,2.5,11318.69,0.427711725,0.8673817,1
76,9,6.62385619,6.62935662,57.685,7,286035.074,0.99009901,49.02,0.451109439,0.8672744,1
57,8,6.141829179,6.31537953,57.485,6,418315.006,3.225806452,3121.214,0.429709435,0.8662052,1
50,8,5.907988206,6.160969545,47.405,17,913617.848,3.333333333,943958.223,0.416757047,0.86122304,1
57,8,6.299753838,6.428400135,2.87,5,226552.458,1.063829787,9090.909,0.431249708,0.86908716,1
42,8,5.32610335,5.515262994,4.845,3,113705.354,3.603603604,13680.816,0.428062141,0.8666056,1
53,10,5.824724545,5.971987698,72.165,6,266200.373,4.444444444,25353.224,0.309863687,0.86717767,1
24,6,5.008567938,5.272292621,18.08,15,961764.021,5.970149254,363470.331,0.469721437,0.865134,1
33,7,5.491853096,5.459431619,27.825,6,856756.735,0,0,0.583780587,0.86145383,1
35,6,5.708632441,5.717850465,28.975,3,620638.597,0,0,0.487338543,0.8687711,1
45,8,5.923181998,5.991598582,11.275,7,1054885.047,1.492537313,223.714,0.499404877,0.8665848,1
33,10,5.352168724,5.648178743,4.045,15,1887876.55,2.898550725,342.564,0.487061888,0.86271125,1
43,8,5.619765507,5.754532719,12.195,3,337221.963,1.666666667,490.196,0.372919023,0.8682132,1
46,10,5.714614648,5.806567423,34.34,8,1035217.301,0,0,0.49400568,0.8615641,1
28,8,5.044394119,5,20.8,0,92773.279,0,0,0.358525872,0.8655963,1
27,7,5.037844793,5.129283017,24.15,3,890889.849,0,0,0.485375434,0.8593537,1
41,8,5.523561956,5.491853096,32.2,3,334156.332,0,0,0.366680533,0.85600233,1
41,8,5.6875,5.786803733,33.25,4,333566.829,0,0,0.499183059,0.8627117,1
57,6,6.155399312,6.189824559,46.865,8,1069784.537,0,0,0.430962354,0.8624692,1
47,9,5.840223929,5.882643049,39.595,10,2015724.749,0,0,0.445024163,0.85810256,1
45,10,5.814833696,5.947613209,4.04,2,102898.208,2.857142857,653.123,0.428424507,0.8697595,1
39,7,5.491853096,5.459431619,27.35,12,2587717.568,0,0,0.452127099,0.860178,1
77,8,6.789497779,6.794415866,30.03,10,128725.464,1.769911504,61.728,0.450650007,0.8625928,1
49,9,5.95419631,5.930737338,19.25,8,951205.436,0,0,0.489008814,0.8642809,1
44,10,5.404187905,5.529597646,52.2,4,376121.85,8.653846154,132920.439,0.406680435,0.8617515,1
42,8,5.980733035,6.07214016,38,3,1406535.356,1.388888889,102354.145,0.447942376,0.86298144,1
46,6,5.977279923,5.95419631,39.025,8,1085965.093,0,0,0.433490843,0.8550759,1
